Id,SalePrice
1461,110017.58882264486
1462,128270.16463945071
1463,189443.941227899
1464,199723.331576117
1465,167365.44918174378
1466,193694.52426533017
1467,187903.7515185148
1468,189651.59481018048
1469,192245.4108932434
1470,120073.42202222043
1471,188875.51068204548
1472,102216.7182420511
1473,98503.61977246487
1474,153291.34557004744
1475,102673.19550789974
1476,273555.78075018973
1477,225520.73238103144
1478,243478.70253194365
1479,240932.0512773883
1480,314049.99373218266
1481,259267.32785705556
1482,194532.05101029994
1483,180325.43873897917
1484,169949.53597380116
1485,202813.80991196103
1486,210575.4006745935
1487,261666.32198175986
1488,232862.74518484587
1489,188895.55495123635
1490,210181.22032841737
1491,202161.4312534713
1492,81771.92641752184
1493,206629.64207702916
1494,250922.25070290564
1495,245841.50420329883
1496,199318.0931807715
1497,174628.54328821297
1498,164466.4555419802
1499,173802.6352377488
1500,167569.92179607484
1501,168593.9021178271
1502,158366.2211092101
1503,246656.10438313498
1504,233961.17750408256
1505,217258.6351303706
1506,174521.7191724309
1507,233546.8703429432
1508,192863.37887570052
1509,156372.98702567752
1510,146761.39792245507
1511,133988.99370372843
1512,156610.14890828374
1513,144780.37776793086
1514,155629.8872722045
1515,195197.46016696258
1516,138619.36550066047
1517,155522.25137995306
1518,132190.81977155962
1519,212178.2877536012
1520,110535.10475225735
1521,105020.72608593285
1522,173922.83704149968
1523,88094.81257911805
1524,86843.07854556286
1525,91793.80065753937
1526,79261.7044690264
1527,112471.22956350262
1528,143023.93585404937
1529,124710.83418464314
1530,182259.53770759603
1531,123803.75913734824
1532,79984.02370737134
1533,125649.26333971212
1534,127342.25546758273
1535,153669.34528125956
1536,91849.0071610995
1537,99546.8802772077
1538,154859.6354775919
1539,182877.94304564942
1540,86772.66815217839
1541,145985.45424544148
1542,142540.13135637017
1543,174230.0487230006
1544,71552.08753713255
1545,95088.92009059973
1546,140126.68328188144
1547,128015.40460148489
1548,112229.99865850777
1549,120153.18643882597
1550,130744.0497718878
1551,108081.99567760019
1552,137697.66261122708
1553,133568.3104032716
1554,113529.54615674177
1555,156552.66653673074
1556,86863.58290076086
1557,59118.45291205213
1558,82787.16552952462
1559,75698.24523358174
1560,114781.09276852482
1561,123315.0577083894
1562,136709.18116347142
1563,108748.05884210924
1564,161583.82190245524
1565,161488.11438727067
1566,218413.1432270176
1567,77300.58127216843
1568,214899.61733724986
1569,138832.01396848136
1570,144069.4741540752
1571,116408.69722062806
1572,138634.82496939218
1573,218253.9631237963
1574,133932.5246781385
1575,209087.4800881933
1576,238387.27471374755
1577,191629.07248127752
1578,141433.11268716597
1579,141986.46695300506
1580,206833.9022605985
1581,152281.3046566105
1582,127327.84279708682
1583,263584.30585593416
1584,226346.67346741192
1585,144163.3959111419
1586,91595.18874637225
1587,89712.18423725954
1588,125186.52212698586
1589,94521.43226611911
1590,132028.62887924773
1591,69689.333639033
1592,135989.32369365176
1593,119475.91300948396
1594,125236.68422566837
1595,104473.45568673787
1596,194622.32642145385
1597,176729.54639129966
1598,194150.28476690012
1599,166307.80911490467
1600,173155.56185000314
1601,45104.07095214865
1602,113103.29373138395
1603,62985.231237114465
1604,209641.7051286097
1605,244764.78996876592
1606,161558.48550607008
1607,183084.2568172472
1608,226072.31370671635
1609,188780.50563023717
1610,175102.163919886
1611,155621.8070215277
1612,181263.75481670155
1613,191990.01736362686
1614,116440.24514372219
1615,73695.49640339162
1616,69771.23981281742
1617,88452.40408049192
1618,126556.74748361079
1619,141974.30135446915
1620,216413.46990011062
1621,152473.28164692532
1622,132756.6135795136
1623,236816.9409726698
1624,216607.8919291412
1625,103600.47773692632
1626,181740.9345499343
1627,198962.80111567833
1628,250835.72659830045
1629,192916.84111850933
1630,236420.8265838096
1631,185447.66909694124
1632,190784.48578047048
1633,192739.8127624116
1634,205506.1181698839
1635,197530.74298539944
1636,175928.4750305157
1637,194322.96849062556
1638,203126.30207015938
1639,186591.27571882284
1640,222623.44118365692
1641,187690.75512139226
1642,224019.02518315736
1643,223608.7429469219
1644,222129.3857765402
1645,198165.09036960226
1646,169228.18360194223
1647,166687.5207530773
1648,137678.12971416835
1649,130215.47445116966
1650,125146.29094554525
1651,140943.78564971147
1652,109744.55974161417
1653,108310.91399876123
1654,159159.6319887585
1655,140967.0053600315
1656,155085.3843167674
1657,161600.98330644413
1658,157722.63966145605
1659,110936.54995492384
1660,163702.41539988658
1661,322908.427183996
1662,285741.66118760087
1663,269810.0905909891
1664,320895.462112752
1665,253692.05298767245
1666,266125.96966429806
1667,281142.196868462
1668,264750.2406751497
1669,246289.8737358734
1670,262193.6238750066
1671,232502.3739633462
1672,290597.8610773104
1673,268582.17268199835
1674,237688.01390724152
1675,181709.155237354
1676,189996.27454104432
1677,200339.7073154172
1678,301169.96341069485
1679,268491.11046207655
1680,233667.84328099067
1681,209318.62541436846
1682,250418.88569673925
1683,186022.23081720856
1684,207252.20082026324
1685,198065.11101634486
1686,178298.4744054856
1687,192889.912401102
1688,209854.8164745396
1689,211540.1993685756
1690,214861.3531039119
1691,209686.73287722078
1692,248190.9352234119
1693,181830.67381774256
1694,202697.9464284016
1695,191206.16079085477
1696,250468.45380489738
1697,190399.88196986006
1698,287778.41357709747
1699,253753.94648706063
1700,228731.89027622464
1701,240007.23151086696
1702,233676.45792143804
1703,245809.7782917932
1704,249490.5101827555
1705,217420.13877043582
1706,293279.08015616715
1707,196225.10180824262
1708,204022.76052535675
1709,252093.63821583497
1710,217222.9256256873
1711,252657.357383008
1712,231280.11915023223
1713,244227.5746538429
1714,205925.24223539725
1715,206638.2200331343
1716,192034.6105976537
